FID,tile,Mg_CO2e_ha,Mg_CO2e_px,ObjectId,Shape__Are,Shape__Len
24,10N_020E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10N_020E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10N_020E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,25,1245542622548.870100000000000,4464169.765581389900000
25,10N_020W,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10N_020W&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10N_020W_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,26,1245542622548.870100000000000,4464169.765581389900000
26,10N_030E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10N_030E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10N_030E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,27,1245542622548.870100000000000,4464169.765581389900000
27,10N_040E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10N_040E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10N_040E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,28,1245542622548.870100000000000,4464169.765581389900000
28,10N_050W,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10N_050W&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10N_050W_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,29,1245542622548.870100000000000,4464169.765581389900000
29,10N_060W,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10N_060W&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10N_060W_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,30,1245542622548.870100000000000,4464169.765581389900000
30,10N_070E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10N_070E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10N_070E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,31,1245542622548.870100000000000,4464169.765581389900000
31,10N_070W,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10N_070W&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10N_070W_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,32,1245542622548.870100000000000,4464169.765581389900000
32,10N_080E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10N_080E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10N_080E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,33,1245542622548.870100000000000,4464169.765581389900000
33,10N_080W,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10N_080W&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10N_080W_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,34,1245542622548.870100000000000,4464169.765581389900000
34,10N_090E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10N_090E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10N_090E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,35,1245542622548.870100000000000,4464169.765581389900000
